"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
4.80587582905305e-06,0.941251024409374,0.335,0.177,0.161179463554781,"EREG","Not significant",5.31822745439224,5.31822745439224
4.8493328268318e-06,0.495345635751685,0.684,0.518,0.162636924346285,"TNFAIP3","Not significant",5.31431800769803,5.31431800769803
5.53929177369175e-06,0.426778923594598,0.866,0.795,0.185776767506074,"RPL8","Not significant",5.2565457584556,5.2565457584556
5.73177476326491e-06,-0.493329449351582,0.926,0.964,0.192232262010378,"MT-ND3","Not significant",5.2417108840446,5.2417108840446
7.05545248842786e-06,0.464589751012962,0.824,0.727,0.236625765556893,"RPS8","Not significant",5.15147512834114,5.15147512834114
7.06307856349758e-06,0.825909338454494,0.409,0.245,0.236881528862582,"AKIRIN2","Not significant",5.15100596301066,5.15100596301066
7.14327735652311e-06,0.47803574079107,0.87,0.787,0.239571235983072,"RPL39","Not significant",5.14610248692306,5.14610248692306
7.30613807934232e-06,0.942383464114509,0.61,0.474,0.245033258904983,"PHLDA1","Not significant",5.13631212427716,5.13631212427716
7.54522110591177e-06,1.00462830736912,0.448,0.285,0.253051625450069,"SNHG8","Not significant",5.12232802909311,5.12232802909311
7.61783792006415e-06,0.808112759279449,0.475,0.305,0.255487048163111,"RIPK2","Not significant",5.11816827178673,5.11816827178673
7.94656404314782e-06,1.2544728688182,0.275,0.129,0.266511864879092,"RNF19B","Not significant",5.09982061218113,5.09982061218113
8.65853785926467e-06,0.639097560992711,0.535,0.349,0.290390042724019,"PELI1","Not significant",5.06255543976849,5.06255543976849
1.02081901336306e-05,0.421092110496796,0.876,0.815,0.342362280701703,"HLA-C","Not significant",4.99105124955379,4.99105124955379
1.13841387617774e-05,0.480965456081958,0.814,0.747,0.381801245792492,"BTG1","Not significant",4.94369981925661,4.94369981925661
1.21294864213041e-05,0.546554013264913,0.645,0.462,0.406798715597696,"MAFF","Not significant",4.916157587354,4.916157587354
1.35327923528194e-05,0.731537483089714,0.471,0.297,0.453862789928856,"PSME1","Not significant",4.86861258194651,4.86861258194651
1.43361550433677e-05,0.682067278473979,0.773,0.627,0.480805967844465,"HSPE1","Not significant",4.84356731082683,4.84356731082683
